m,bt_time,ilp_time,opt,greed_t,lpc_t,opt_greedy,opt_clp
48,0.04871454238891602,0.023582315444946288,5,7.443428039550781e-05,0.01999657154083252,7,9
49,0.018809747695922852,0.023293542861938476,6,0.00030040740966796875,0.021900582313537597,8,6
50,0.06937308311462402,0.02425537109375,5,0.00019998550415039061,0.02045419216156006,7,7
51,0.10043840408325196,0.024361658096313476,7,0.0001809835433959961,0.02016873359680176,10,10
52,0.21477971076965333,0.02348041534423828,6,0.00025174617767333987,0.02027134895324707,7,8
53,0.10276923179626465,0.023630762100219728,5,9.298324584960938e-05,0.020592808723449707,7,5
54,0.8182797908782959,0.025112152099609375,6,0.0003012180328369141,0.02174072265625,6,11
55,0.19662847518920898,0.02640080451965332,6,0.00010254383087158204,0.022589468955993654,7,13
56,0.1979555606842041,0.02470545768737793,7,0.00017571449279785156,0.020141863822937013,8,10
57,0.08617315292358399,0.02382831573486328,7,0.00030071735382080077,0.020299220085144044,9,9
58,0.11798644065856934,0.024228334426879883,5,0.00019986629486083983,0.021251845359802245,7,5
59,0.09319281578063965,0.07088603973388671,5,5.061626434326172e-05,0.020982956886291503,6,12
60,0.05738134384155273,0.028179454803466796,5,0.00047821998596191405,0.02101709842681885,6,10
61,0.9167799949645996,0.02659893035888672,7,0.00012845993041992186,0.02088010311126709,8,15
62,1.1666859626770019,0.024715566635131837,6,0.0,0.021183061599731445,8,6
63,0.10989131927490234,0.024527740478515626,6,0.00020081996917724608,0.02086644172668457,8,12
64,0.1500026226043701,0.04603686332702637,7,0.0002508401870727539,0.020985507965087892,7,10
65,1.58714599609375,0.02466273307800293,6,0.0002604484558105469,0.022858572006225587,8,12
66,0.22925276756286622,0.024664545059204103,5,0.0002096414566040039,0.023183822631835938,6,5
67,0.5323333263397216,0.02438802719116211,6,0.00012428760528564452,0.021043109893798827,7,14
68,0.5667566299438477,0.025311088562011717,6,9.999275207519531e-05,0.0212022066116333,8,8
69,0.2487950801849365,0.030399847030639648,6,0.00027430057525634766,0.02110738754272461,8,14
70,0.281467342376709,0.025643444061279295,7,0.0006780862808227539,0.02071702480316162,9,10
71,0.7970083713531494,0.024716520309448244,6,0.0003237724304199219,0.0216092586517334,8,6
72,0.09828743934631348,0.02584052085876465,7,0.00023143291473388673,0.021202826499938966,10,11
73,0.6869607448577881,0.053889799118041995,7,0.00010082721710205078,0.021629524230957032,9,13
74,0.09512596130371094,0.02499995231628418,9,0.0002529621124267578,0.021459484100341798,9,9
75,1.730934476852417,0.026375389099121092,7,0.00030879974365234376,0.021731972694396973,8,17
76,0.4366904258728027,0.028587961196899415,7,0.00025653839111328125,0.021495413780212403,8,12
77,1.445235013961792,0.1341886043548584,6,0.0003663539886474609,0.022657608985900878,6,18
78,0.33610053062438966,0.028392219543457033,6,0.00025069713592529297,0.022160053253173828,7,13
79,4.218626070022583,0.028066205978393554,9,0.0002875804901123047,0.022578835487365723,10,10
80,1.6740599155426026,0.08882637023925781,7,7.369518280029297e-05,0.022222304344177247,9,12
81,0.5530646800994873,0.02547731399536133,7,0.00015747547149658203,0.022284436225891113,10,14
82,1.0003325939178467,0.02784733772277832,7,0.00034637451171875,0.023269152641296385,8,16
83,0.19423861503601075,0.028630924224853516,6,0.00041234493255615234,0.02275545597076416,7,17
84,1.0427897930145265,0.028021526336669923,8,0.0003246307373046875,0.023682284355163574,8,12
85,1.3672195434570313,0.030488109588623045,8,0.0002794504165649414,0.02343146800994873,9,8
86,2.008351278305054,0.025663423538208007,8,0.0003469705581665039,0.022149252891540527,10,8
87,0.32763328552246096,0.028398466110229493,7,0.00011472702026367187,0.0223895788192749,10,10
88,0.8826848983764648,0.030368661880493163,6,0.00020000934600830078,0.0228287935256958,8,14
89,0.5557577610015869,0.02695126533508301,8,0.00022897720336914062,0.022356414794921876,10,13
90,4.613739442825318,0.027241277694702148,10,0.00035543441772460936,0.021941256523132325,11,10
91,0.41820969581604006,0.07279825210571289,7,0.00047953128814697265,0.022321796417236327,7,17
92,0.05838370323181152,0.026416301727294922,8,0.00046138763427734376,0.02265324592590332,9,17
93,0.7558871746063233,0.03147401809692383,8,0.0004273891448974609,0.022574806213378908,9,16
94,0.5837412357330323,0.029074764251708983,8,0.0003750085830688477,0.022767472267150878,8,14
95,2.591095542907715,0.025827693939208984,8,0.0,0.0230027437210083,9,8
96,2.367897653579712,0.028489160537719726,7,0.00044419765472412107,0.022886157035827637,8,14
97,9.044217252731324,0.026982641220092772,9,0.00036759376525878905,0.022809696197509766,11,15
98,0.2084665298461914,0.025196361541748046,9,0.00045037269592285156,0.022965478897094726,11,11
99,2.835919427871704,0.04965267181396484,9,0.00010004043579101563,0.027958226203918458,9,13
100,3.1946460723876955,0.02603440284729004,8,0.0003739595413208008,0.02313988208770752,8,8
101,5.264086008071899,0.029298067092895508,7,0.00027146339416503904,0.02435479164123535,9,14
102,2.348481035232544,0.03269510269165039,9,0.00013701915740966798,0.028356766700744628,10,14
103,3.560329008102417,0.031143712997436523,10,0.00038299560546875,0.02909214496612549,11,14
104,1.4424532413482667,0.03178262710571289,8,0.0006204843521118164,0.029412245750427245,9,15
105,2.0639645576477053,0.15541820526123046,7,0.0005975961685180664,0.030075573921203615,9,15
106,2.045559597015381,0.034078359603881836,8,0.00034208297729492186,0.030643224716186523,11,13
107,3.156533432006836,0.030925798416137695,9,0.0003304481506347656,0.02911200523376465,10,9
108,0.39116702079772947,0.031018447875976563,8,0.00043621063232421873,0.028556180000305176,11,8
109,1.0387593746185302,0.0347865104675293,8,0.0005356550216674804,0.028646564483642577,9,17
110,0.17868609428405763,0.031606101989746095,7,0.00041322708129882814,0.03269777297973633,9,7
111,0.8969172477722168,0.032028579711914064,8,0.0003839254379272461,0.03164582252502442,10,8
112,4.807907485961914,0.033041191101074216,10,0.00021014213562011718,0.02944808006286621,11,19
113,0.8658209323883057,0.033692216873168944,10,0.0006020784378051758,0.033723855018615724,13,10
114,0.4002235889434814,0.031112003326416015,10,0.0005313396453857422,0.030951714515686034,11,10
115,1.4821722984313965,0.040367937088012694,7,0.00047070980072021483,0.029843902587890624,9,15
116,10.074062776565551,0.040793228149414065,8,0.0006006240844726562,0.03059673309326172,9,20
117,2.2486672401428223,0.03334894180297852,11,0.0003089427947998047,0.031060671806335448,11,14
118,3.7306094646453856,0.03783164024353027,10,0.0004903078079223633,0.030830693244934083,12,19
119,1.2768872261047364,0.03344626426696777,9,0.0005069255828857421,0.030489683151245117,10,16
120,8.703620624542236,0.033317041397094724,10,0.00056304931640625,0.03006258010864258,12,10
121,0.5349298000335694,0.03200087547302246,9,0.0004206418991088867,0.029955291748046876,13,13
122,6.139088869094849,0.032687950134277347,9,0.00034797191619873047,0.030262303352355958,11,17
123,4.15703649520874,0.04763870239257813,10,0.0005899667739868164,0.029493117332458497,11,15
124,1.2427392959594727,0.032646465301513675,10,0.00026812553405761717,0.03025524616241455,13,10
125,4.0500627040863035,0.03413057327270508,9,0.000389409065246582,0.029924464225769044,12,17
126,0.8214602947235108,0.03345918655395508,10,0.0002595663070678711,0.029795265197753905,12,12
127,8.335020923614502,0.035953092575073245,9,0.0007075786590576172,0.05587351322174072,11,17
128,0.7885687351226807,0.03292970657348633,10,0.00023550987243652343,0.029896807670593262,12,10
129,2.4471466541290283,0.040427446365356445,9,0.00037362575531005857,0.03207221031188965,10,16
130,6.270423507690429,0.035138273239135744,9,0.00025579929351806643,0.03043074607849121,11,13
131,0.47180886268615724,0.03261995315551758,9,0.0004609823226928711,0.029668307304382323,10,9
132,1.5900649547576904,0.03699660301208496,10,0.0006107091903686523,0.029455089569091798,12,17
133,0.36148319244384763,0.03187627792358398,12,0.00034542083740234374,0.029175543785095216,12,14
134,5.712530040740967,0.03432784080505371,11,0.00025038719177246095,0.02959017753601074,14,11
135,7.498498344421387,0.034360742568969725,10,0.0007396936416625977,0.029783248901367188,11,10
136,1.3799239158630372,0.032702398300170896,10,0.00020816326141357422,0.029676032066345216,12,14
137,2.2767832279205322,0.032392024993896484,12,0.0002125978469848633,0.03359277248382568,14,12
138,6.378063631057739,0.16848902702331542,7,0.00025069713592529297,0.03214874267578125,9,14
139,10.001720857620239,0.0331298828125,10,0.0006152868270874023,0.03057889938354492,12,17
140,1.0559841632843017,0.034197998046875,11,0.00027589797973632814,0.030924010276794433,11,14
141,4.0368787288665775,0.03421769142150879,8,0.0004924774169921875,0.033055591583251956,11,13
142,9.897150945663451,0.035889196395874026,8,0.0006945610046386718,0.03101027011871338,8,17
143,4.511720657348633,0.03274941444396973,11,0.00046648979187011717,0.030557656288146974,12,11
144,4.264882326126099,0.03492813110351563,11,0.000762772560119629,0.03186984062194824,13,17
145,1.1390840053558349,0.03312768936157227,13,0.0005927562713623046,0.038050723075866696,13,13
146,0.9607119083404541,0.034827041625976565,10,0.000653386116027832,0.03840148448944092,13,11
147,5.549842500686646,0.03528718948364258,11,0.0007963895797729493,0.048950028419494626,16,11
148,27.84446496963501,0.03422245979309082,10,0.0007994890213012696,0.032002615928649905,13,15
