m,greedy,lpc,opt_greedy,opt_clp
221,0.0011400222778320313,0.03420169353485107,15,32
222,0.0010508060455322265,0.03406128883361816,16,39
223,0.0012317180633544921,0.034731268882751465,16,43
224,0.001317596435546875,0.03501534461975098,15,38
225,0.0011947154998779297,0.033625006675720215,16,36
226,0.0010939598083496093,0.03370826244354248,15,41
227,0.0011063337326049805,0.03312842845916748,16,41
228,0.0010832548141479492,0.033939170837402347,15,39
229,0.001256847381591797,0.03303713798522949,15,38
230,0.0011312246322631836,0.03329906463623047,15,39
231,0.0010136127471923827,0.033490228652954104,16,41
232,0.0013069391250610351,0.033295178413391115,16,37
233,0.0012059450149536134,0.034199070930480954,16,41
234,0.0012459039688110351,0.0344907283782959,16,41
235,0.0014963865280151368,0.03502480983734131,16,38
236,0.0013104915618896485,0.03481864929199219,16,39
237,0.0011908292770385742,0.03499031066894531,16,38
238,0.00152740478515625,0.034476399421691895,16,40
239,0.0011761903762817383,0.03404178619384766,16,44
240,0.0014649629592895508,0.0354499101638794,16,39
241,0.0016925573348999024,0.03483645915985108,16,38
242,0.0014744043350219727,0.034940505027771,16,38
243,0.0011480093002319337,0.03416509628295898,16,39
244,0.0013124942779541016,0.03600587844848633,15,35
245,0.0015252590179443359,0.03417387008666992,16,36
246,0.0013277053833007813,0.034787869453430174,15,40
247,0.0012845039367675782,0.035530710220336915,15,39
248,0.0015866994857788087,0.035730838775634766,15,40
249,0.0015117883682250976,0.03445634841918945,17,40
250,0.0012969255447387695,0.03460326194763184,16,36
251,0.0014916419982910155,0.03413255214691162,17,38
252,0.0010787487030029298,0.03475353717803955,16,36
253,0.0015276193618774414,0.03428382873535156,17,44
254,0.0013800859451293945,0.034593963623046876,16,42
255,0.001237797737121582,0.03518896102905274,16,37
256,0.0012043952941894532,0.035395479202270506,16,38
257,0.001208329200744629,0.03510730266571045,16,39
258,0.0014034032821655274,0.03460638523101807,16,39
259,0.0014119625091552734,0.03500983715057373,16,37
260,0.0015701055526733398,0.03444287776947021,17,39
261,0.0015149831771850586,0.034383392333984374,18,41
262,0.0014395475387573241,0.03556149005889893,16,41
263,0.0014600276947021485,0.03561646938323974,17,42
264,0.0013827085494995117,0.036818528175354005,17,41
265,0.0016257524490356444,0.03550798892974853,17,42
266,0.0013258695602416993,0.035777735710144046,17,41
267,0.0016714096069335937,0.036328577995300294,16,42
268,0.0013219594955444336,0.038596272468566895,16,39
269,0.0015587568283081054,0.03592391014099121,16,42
270,0.0014021158218383788,0.037114644050598146,16,38
271,0.0013688087463378906,0.03713116645812988,16,40
272,0.0016722440719604491,0.03613212108612061,17,44
273,0.0014512062072753907,0.03684508800506592,17,41
274,0.0018784284591674804,0.038042092323303224,17,39
275,0.0016164302825927735,0.036702442169189456,17,45
276,0.0016986608505249023,0.037401223182678224,17,39
277,0.0017252206802368165,0.03627476692199707,18,43
278,0.0017871379852294922,0.035512995719909665,17,36
279,0.0015158653259277344,0.03666820526123047,18,45
280,0.0014923095703125,0.03692963123321533,17,42
281,0.001771092414855957,0.03744592666625977,17,43
282,0.0019071340560913087,0.03849692344665527,17,41
283,0.0018691301345825195,0.03815274238586426,16,45
284,0.001752471923828125,0.04245755672454834,17,40
285,0.0018433094024658202,0.038476300239562986,17,38
286,0.0018195867538452148,0.038896489143371585,16,38
287,0.0017164945602416992,0.03688609600067139,17,40
288,0.0014486312866210938,0.036860299110412595,17,42
289,0.0016494989395141602,0.03676600456237793,17,42
290,0.001898956298828125,0.037026286125183105,18,45
291,0.0017764806747436524,0.037773871421813966,17,40
292,0.0017436981201171876,0.03704268932342529,17,42
293,0.0019797086715698242,0.0365368127822876,17,39
294,0.0016466379165649414,0.036469221115112305,18,39
295,0.0018524169921875,0.036963248252868654,17,39
296,0.0015902519226074219,0.03711380958557129,18,40
297,0.0014563798904418945,0.03663713932037353,17,45
298,0.0016295671463012694,0.0375704288482666,17,44
299,0.0019516706466674804,0.037462925910949706,18,41
300,0.0016487836837768555,0.037067413330078125,16,39
301,0.0017872095108032227,0.037726855278015135,17,39
302,0.001593780517578125,0.038005924224853514,16,44
303,0.001876235008239746,0.03772382736206055,17,44
304,0.0017039775848388672,0.038480281829833984,17,42
305,0.0017159700393676758,0.037697553634643555,17,41
306,0.001851367950439453,0.037749314308166505,18,39
307,0.001626443862915039,0.037874460220336914,17,38
308,0.0017144918441772462,0.03882269859313965,18,39
309,0.0016649246215820312,0.03839519023895264,16,40
310,0.0018481016159057617,0.03735980987548828,17,43
311,0.0016358852386474609,0.03804380893707275,17,43
312,0.0017647266387939454,0.03835310935974121,17,45
313,0.001852869987487793,0.03824713230133057,15,43
314,0.0017302751541137696,0.038176989555358885,17,42
315,0.0016919612884521485,0.03892974853515625,17,45
316,0.0017874956130981446,0.03844637870788574,17,43
317,0.0018075227737426758,0.03812532424926758,16,45
318,0.0018204689025878907,0.03913557529449463,17,43
319,0.0017501354217529298,0.037849950790405276,18,44
320,0.0019778966903686523,0.03865127563476563,17,42
321,0.0018238306045532226,0.03897616863250732,17,41
322,0.0019324302673339843,0.038686156272888184,17,43
323,0.002012491226196289,0.0385223388671875,18,40
324,0.0020179510116577148,0.03900089263916016,18,39
325,0.0019526958465576171,0.04034743309020996,18,37
326,0.0019214630126953125,0.03959612846374512,19,43
327,0.0019682884216308595,0.03966412544250488,17,43
328,0.0018088579177856444,0.03931186199188232,17,44
329,0.0018447637557983398,0.039164066314697266,16,45
330,0.001788926124572754,0.038941025733947754,17,40
331,0.0019384145736694336,0.040388870239257815,18,42
332,0.0018875598907470703,0.03929450511932373,17,44
333,0.0018088817596435547,0.04032120704650879,18,42
334,0.0018270492553710937,0.039766883850097655,18,43
335,0.0019547224044799806,0.03964104652404785,18,41
336,0.0019244670867919922,0.039374804496765135,18,44
337,0.001942896842956543,0.039545440673828126,17,46
338,0.0018905878067016601,0.039909195899963376,17,43
339,0.001885676383972168,0.03982319831848145,18,42
340,0.0017075777053833009,0.03960509300231933,17,40
341,0.002003598213195801,0.04076375961303711,18,41
342,0.0019397974014282227,0.041776084899902345,18,44
343,0.0019341707229614258,0.03989734649658203,18,45
344,0.002017378807067871,0.03990106582641602,17,43
345,0.001833200454711914,0.04039008617401123,17,42
346,0.002002859115600586,0.04000272750854492,18,40
347,0.0020581722259521485,0.04104182720184326,18,45
348,0.0018965721130371094,0.04046168327331543,18,44
349,0.0019580364227294923,0.041141939163208005,17,45
350,0.0020096302032470703,0.040804815292358396,17,42
351,0.002057814598083496,0.040348052978515625,20,40
352,0.0019984006881713866,0.04042530059814453,18,40
353,0.00196380615234375,0.040575408935546876,18,41
354,0.0019497394561767579,0.04063735008239746,17,40
355,0.0018588781356811523,0.04055004119873047,17,39
356,0.0020537614822387696,0.040946125984191895,17,42
357,0.001961827278137207,0.040386319160461426,18,43
358,0.001988840103149414,0.040215587615966795,18,45
359,0.002030682563781738,0.04170036315917969,17,44
360,0.002097797393798828,0.04191620349884033,19,43
361,0.0019479513168334961,0.04114673137664795,17,41
362,0.0019925832748413086,0.040826821327209474,18,44
363,0.0019814729690551757,0.04122169017791748,19,43
364,0.002042818069458008,0.04088187217712402,17,40
365,0.002009463310241699,0.04105567932128906,17,40
366,0.0022162914276123045,0.04097769260406494,18,43
367,0.001926279067993164,0.04144673347473145,18,40
